257 32896 266
176 29 83 0
77 76 16 0
214 161 29 0
26 95 17 0
89 4 24 0
38 186 25 0
166 100 80 0
128 97 19 0
165 77 61 0
155 200 72 0
166 12 42 0
184 111 82 0
207 149 44 0
226 139 57 0
161 37 81 0
206 53 45 0
39 30 57 0
114 159 88 0
66 73 44 0
57 148 34 0
7 32 45 0
219 158 89 0
232 185 31 0
110 42 17 0
48 15 86 0
54 188 15 0
121 185 72 0
5 146 94 0
119 81 99 0
31 223 66 0
136 255 28 0
9 96 57 0
217 233 51 0
8 102 2 0
112 122 83 0
149 15 45 0
74 104 65 0
187 101 66 0
114 234 25 0
219 156 72 0
169 147 67 0
83 6 7 0
177 38 74 0
215 130 46 0
224 118 20 0
243 101 68 0
113 242 81 0
46 168 10 0
229 199 61 0
199 188 69 0
178 116 27 0
53 87 32 0
66 94 85 0
225 29 40 0
0 212 69 0
188 66 80 0
229 232 77 0
72 73 6 0
150 204 53 0
104 76 58 0
229 121 67 0
110 235 15 0
82 98 97 0
14 256 28 0
80 195 42 0
201 168 62 0
114 28 13 0
228 140 54 0
105 212 49 0
158 76 51 0
22 75 20 0
47 170 42 0
66 55 32 0
181 202 94 0
203 15 58 0
233 163 13 0
109 143 86 0
131 73 17 0
125 180 53 0
191 135 66 0
167 3 67 0
116 86 27 0
190 119 74 0
155 217 8 0
17 35 21 0
8 103 81 0
204 194 48 0
213 84 35 0
105 167 66 0
178 155 9 0
220 254 13 0
73 205 47 0
121 91 67 0
70 175 44 0
4 31 63 0
133 86 8 0
119 9 30 0
36 49 17 0
155 34 69 0
59 19 85 0
11 105 23 0
201 19 58 0
176 245 24 0
93 53 40 0
38 56 6 0
114 122 57 0
237 194 1 0
219 256 19 0
145 181 97 0
150 252 32 0
84 19 63 0
117 155 85 0
220 15 6 0
219 196 90 0
23 224 98 0
36 68 92 0
36 214 92 0
165 57 63 0
91 54 20 0
227 131 22 0
47 42 10 0
48 62 5 0
8 214 55 0
201 26 40 0
24 230 54 0
236 108 61 0
19 197 81 0
70 39 5 0
214 196 71 0
20 103 36 0
163 182 95 0
60 6 45 0
95 147 74 0
121 112 58 0
85 4 96 0
135 210 5 0
221 192 22 0
103 92 56 0
185 239 31 0
224 204 12 0
192 114 67 0
233 229 5 0
9 94 95 0
79 5 69 0
30 221 30 0
176 62 3 0
76 175 57 0
112 22 45 0
194 193 97 0
63 53 76 0
61 67 55 0
71 122 13 0
231 199 91 0
140 61 81 0
171 42 27 0
61 34 42 0
172 26 81 0
54 205 90 0
147 85 49 0
85 122 33 0
162 72 8 0
195 197 82 0
33 9 53 0
197 8 28 0
171 237 49 0
242 232 88 0
98 139 1 0
241 138 29 0
195 81 14 0
180 44 95 0
90 116 28 0
153 4 3 0
32 10 84 0
50 7 23 0
8 186 93 0
159 113 39 0
189 200 32 0
30 138 94 0
240 116 25 0
233 132 55 0
201 10 87 0
75 187 72 0
74 139 48 0
243 56 83 0
195 143 14 0
122 82 63 0
96 81 7 0
219 14 74 0
30 194 91 0
137 17 38 0
12 154 32 0
247 244 40 0
65 130 37 0
153 219 24 0
241 252 82 0
133 57 56 0
222 162 79 0
62 83 73 0
131 208 76 0
21 0 38 0
109 118 95 0
98 37 29 0
65 96 19 0
127 244 61 0
168 11 94 0
145 115 14 0
21 20 70 0
53 77 10 0
160 211 3 0
143 52 78 0
230 27 21 0
170 75 32 0
78 188 31 0
163 40 42 0
238 164 61 0
164 134 15 0
100 227 6 0
53 253 24 0
179 0 22 0
125 163 96 0
155 147 37 0
227 248 16 0
145 170 29 0
144 106 95 0
246 237 80 0
243 121 53 0
10 121 34 0
36 30 10 0
73 89 31 0
87 182 77 0
34 25 93 0
93 80 25 0
209 75 39 0
196 75 24 0
74 10 22 0
254 126 84 0
232 85 32 0
109 2 97 0
190 30 37 0
188 187 10 0
195 220 55 0
63 80 1 0
134 137 97 0
152 174 14 0
84 189 28 0
83 46 88 0
112 40 15 0
147 98 87 0
150 156 61 0
24 199 34 0
122 238 21 0
180 32 9 0
250 167 40 0
36 10 43 0
229 148 81 0
37 31 26 0
77 93 94 0
156 162 11 0
93 126 50 0
168 9 62 0
244 171 39 0
142 64 35 0
114 10 28 0
13 117 100 0
56 55 74 0
209 141 9 0
52 209 73 0
120 249 28 0
98 215 4 0
133 128 32 0
9 37 56 0
233 160 98 0
213 214 50 0
171 98 75 0
135 73 74 0
30 19 80 0
116 112 75 0
229 243 74 0
167 214 27 0
46 207 5 0
1 95 48 0
73 21 23 0
84 130 96 0
252 61 80 0
117 161 90 0
76 50 16 0
179 217 60 0
166 149 85 0
34 17 77 0
40 16 59 0
17 88 89 0
121 252 35 0
192 201 23 0
32 133 95 0
12 152 25 0
206 85 78 0
247 87 71 0
8 207 65 0
33 223 5 0
9 190 39 0
59 254 16 0
22 109 98 0
64 33 24 0
141 56 59 0
239 23 66 0
15 115 44 0
72 42 50 0
180 83 48 0
111 245 26 0
147 223 98 0
182 74 56 0
163 62 36 0
215 238 78 0
185 18 31 0
78 18 64 0
238 212 33 0
220 153 45 0
124 13 15 0
132 256 34 0
0 48 15 0
179 191 16 0
151 150 23 0
219 218 20 0
215 61 33 0
162 30 5 0
226 155 67 0
174 224 60 0
82 165 57 0
166 94 4 0
152 76 26 0
223 32 78 0
47 96 2 0
38 182 55 0
166 181 40 0
162 199 50 0
219 7 50 0
148 181 86 0
127 179 7 0
209 192 50 0
111 51 75 0
117 68 17 0
15 96 91 0
87 183 80 0
183 123 46 0
118 27 29 0
178 194 48 0
121 200 89 0
158 11 78 0
19 57 85 0
220 25 40 0
125 34 39 0
75 172 31 0
235 97 98 0
155 151 45 0
241 111 90 0
143 118 70 0
159 15 71 0
42 157 37 0
156 17 8 0
239 43 32 0
65 239 46 0
72 81 36 0
107 217 76 0
39 183 54 0
205 76 72 0
170 154 95 0
41 228 44 0
0 209 78 0
72 93 64 0
249 53 76 0
73 244 30 0
125 27 87 0
224 156 17 0
176 140 65 0
93 81 77 0
148 23 9 0
119 253 22 0
13 118 90 0
65 221 85 0
94 38 36 0
100 5 22 0
176 123 23 0
79 165 49 0
137 208 32 0
47 25 49 0
44 101 64 0
66 203 99 0
171 208 8 0
137 93 73 0
36 12 24 0
147 182 23 0
142 177 19 0
54 161 62 0
0 148 38 0
7 35 11 0
24 212 100 0
251 252 80 0
28 38 56 0
191 192 63 0
190 140 41 0
250 87 55 0
151 143 76 0
182 179 25 0
88 228 48 0
67 160 25 0
2 59 51 0
174 76 93 0
217 131 19 0
256 97 81 0
139 184 12 0
126 241 31 0
88 83 25 0
215 197 54 0
51 189 91 0
118 238 66 0
112 227 76 0
155 17 57 0
11 206 69 0
226 215 12 0
87 218 14 0
49 207 70 0
57 256 46 0
227 91 38 0
236 226 80 0
203 115 45 0
196 232 84 0
14 115 48 0
219 177 68 0
13 132 91 0
150 72 57 0
221 52 62 0
94 221 41 0
211 37 35 0
144 127 33 0
187 237 82 0
155 72 70 0
238 85 41 0
126 193 63 0
207 241 63 0
203 152 78 0
99 177 63 0
159 207 65 0
126 234 47 0
226 153 36 0
121 160 33 0
4 100 92 0
177 186 14 0
246 245 84 0
226 22 35 0
182 162 36 0
169 172 12 0
12 100 100 0
92 122 36 0
191 31 12 0
75 103 56 0
237 2 4 0
51 28 88 0
136 98 49 0
239 205 66 0
21 64 61 0
132 91 59 0
114 88 60 0
110 83 30 0
158 221 18 0
197 43 6 0
134 76 25 0
255 194 89 0
166 179 75 0
224 244 64 0
54 226 2 0
38 162 61 0
139 155 97 0
63 124 27 0
248 75 43 0
127 61 71 0
62 99 19 0
212 126 94 0
0 54 71 0
0 105 53 0
165 66 7 0
195 91 57 0
46 225 12 0
214 171 13 0
39 4 61 0
69 13 2 0
204 67 86 0
50 102 100 0
206 245 1 0
113 9 72 0
145 127 14 0
152 136 72 0
217 6 9 0
109 192 40 0
6 8 36 0
217 170 58 0
35 43 67 0
72 199 1 0
187 192 27 0
199 210 55 0
94 37 100 0
149 237 70 0
111 191 85 0
74 138 16 0
246 174 52 0
240 4 54 0
246 224 54 0
188 89 59 0
218 233 96 0
52 162 82 0
81 254 35 0
205 242 44 0
109 29 34 0
251 91 9 0
131 209 14 0
152 98 39 0
225 28 76 0
207 230 60 0
84 236 35 0
118 131 95 0
54 154 82 0
184 27 90 0
111 128 57 0
39 123 17 0
253 13 49 0
171 49 16 0
81 211 35 0
120 92 34 0
5 130 79 0
202 37 61 0
179 71 35 0
38 220 31 0
145 10 64 0
12 143 27 0
127 184 19 0
52 89 11 0
70 151 26 0
156 189 52 0
40 64 1 0
40 68 45 0
9 239 98 0
80 218 34 0
230 5 20 0
140 130 20 0
33 166 74 0
44 221 95 0
129 115 12 0
142 124 43 0
51 69 51 0
161 111 53 0
64 25 44 0
62 245 85 0
117 221 98 0
26 241 13 0
145 113 49 0
232 209 8 0
1 172 100 0
92 25 16 0
195 92 58 0
203 236 62 0
251 27 75 0
215 120 96 0
86 107 8 0
56 165 24 0
24 211 10 0
72 141 32 0
239 139 99 0
88 256 21 0
52 18 23 0
64 43 56 0
123 87 86 0
160 97 59 0
1 22 50 0
6 220 99 0
256 164 86 0
108 243 98 0
67 11 93 0
58 129 12 0
185 41 44 0
242 252 48 0
83 39 32 0
143 20 2 0
84 25 68 0
118 72 74 0
201 158 51 0
246 88 58 0
130 167 6 0
205 136 92 0
43 119 65 0
90 195 32 0
14 132 99 0
122 37 35 0
218 243 50 0
235 234 44 0
195 53 75 0
232 35 70 0
62 3 60 0
200 226 95 0
131 170 98 0
78 177 53 0
249 8 32 0
37 103 98 0
248 0 39 0
252 209 7 0
167 141 37 0
92 140 29 0
117 157 72 0
26 44 86 0
209 68 91 0
215 239 54 0
214 162 95 0
135 142 74 0
138 55 19 0
165 13 24 0
17 180 67 0
173 242 64 0
245 193 74 0
224 87 19 0
1 212 55 0
171 118 72 0
196 141 33 0
30 91 56 0
129 110 63 0
60 146 72 0
30 145 62 0
10 24 2 0
59 214 71 0
136 45 46 0
62 255 23 0
117 50 95 0
231 42 63 0
79 141 68 0
139 177 1 0
244 209 72 0
75 203 81 0
72 224 73 0
108 208 61 0
81 239 55 0
45 29 82 0
67 163 87 0
57 182 95 0
99 128 24 0
247 67 20 0
17 11 18 0
114 25 38 0
9 173 69 0
134 102 76 0
171 62 48 0
211 252 78 0
47 102 19 0
244 183 75 0
70 226 83 0
229 155 56 0
219 66 55 0
201 114 66 0
12 28 20 0
254 248 58 0
5 10 90 0
7 13 93 0
15 208 55 0
241 173 25 0
231 224 57 0
194 138 75 0
151 7 20 0
254 9 46 0
86 156 20 0
201 13 82 0
70 217 46 0
88 205 10 0
98 230 32 0
80 148 48 0
173 28 79 0
203 230 46 0
55 2 64 0
94 162 72 0
179 60 67 0
90 45 24 0
218 89 79 0
251 82 66 0
137 136 70 0
20 140 33 0
3 19 59 0
219 38 59 0
105 64 44 0
159 40 56 0
151 98 23 0
196 247 10 0
232 159 88 0
87 49 75 0
92 234 100 0
62 237 95 0
227 172 91 0
188 237 68 0
236 22 87 0
240 154 15 0
224 159 45 0
224 110 19 0
135 37 73 0
169 23 59 0
146 207 35 0
0 15 83 0
143 10 77 0
232 195 47 0
151 130 55 0
21 215 28 0
56 189 88 0
19 4 93 0
13 109 63 0
248 21 59 0
175 8 99 0
92 131 78 0
158 191 1 0
35 121 21 0
64 71 45 0
163 28 32 0
33 66 73 0
253 163 79 0
140 229 62 0
114 213 39 0
59 82 15 0
250 213 3 0
233 128 92 0
208 219 81 0
41 38 81 0
138 1 82 0
35 9 4 0
108 127 35 0
154 135 75 0
13 140 88 0
209 9 92 0
119 103 53 0
159 97 65 0
113 148 21 0
33 171 15 0
109 75 39 0
134 168 66 0
238 39 5 0
256 177 8 0
138 160 4 0
212 81 57 0
157 243 47 0
236 171 39 0
237 169 33 0
124 225 41 0
53 29 38 0
11 188 40 0
70 61 85 0
79 209 10 0
136 60 95 0
200 108 75 0
40 54 95 0
115 8 60 0
181 94 83 0
138 195 17 0
200 217 63 0
9 180 45 0
132 96 45 0
26 9 91 0
207 105 48 0
36 52 52 0
77 103 27 0
201 155 18 0
210 169 32 0
225 155 31 0
95 219 69 0
0 169 30 0
56 104 13 0
146 202 22 0
33 237 92 0
115 231 50 0
216 196 78 0
141 251 74 0
239 233 30 0
111 34 46 0
140 63 40 0
208 110 100 0
52 234 56 0
123 98 36 0
225 230 64 0
81 253 77 0
22 98 40 0
221 1 20 0
120 206 59 0
51 107 20 0
214 70 50 0
193 76 17 0
231 214 48 0
65 136 80 0
163 234 78 0
209 142 66 0
241 45 56 0
148 154 14 0
122 112 32 0
240 155 100 0
166 139 43 0
238 150 57 0
146 229 97 0
119 132 54 0
155 184 24 0
78 171 27 0
235 231 26 0
247 11 19 0
183 35 41 0
81 89 96 0
99 1 93 0
157 140 70 0
213 148 8 0
244 132 24 0
189 243 56 0
37 161 38 0
133 118 64 0
23 115 45 0
183 116 59 0
64 112 44 0
228 6 62 0
93 103 77 0
217 67 86 0
7 46 17 0
76 12 3 0
20 30 29 0
69 92 29 0
60 163 74 0
197 238 70 0
169 155 86 0
99 10 70 0
93 147 81 0
89 210 10 0
161 197 76 0
170 6 93 0
99 59 96 0
42 33 30 0
181 107 79 0
17 239 91 0
129 148 29 0
36 190 30 0
250 80 80 0
156 218 17 0
217 21 78 0
217 51 30 0
171 141 92 0
157 220 7 0
185 127 35 0
151 21 13 0
94 62 97 0
78 0 37 0
70 240 60 0
18 51 90 0
11 151 72 0
153 187 99 0
172 46 38 0
116 163 27 0
65 15 2 0
237 144 7 0
20 109 74 0
185 71 17 0
202 29 6 0
50 166 15 0
51 94 53 0
123 241 75 0
192 171 21 0
150 174 32 0
255 167 23 0
8 119 30 0
21 200 63 0
204 95 83 0
74 198 66 0
147 176 58 0
25 93 65 0
185 145 10 0
186 227 14 0
83 139 73 0
163 109 20 0
162 140 86 0
58 223 82 0
183 108 44 0
167 95 76 0
119 191 74 0
164 166 98 0
117 30 78 0
182 115 31 0
54 25 74 0
42 5 3 0
9 134 20 0
191 24 100 0
56 112 10 0
135 147 92 0
121 171 5 0
196 233 6 0
58 93 92 0
96 124 79 0
169 125 78 0
139 57 83 0
85 70 29 0
246 205 33 0
138 117 99 0
245 32 19 0
213 193 22 0
88 21 92 0
49 73 72 0
56 125 34 0
110 29 28 0
36 229 14 0
188 50 11 0
50 133 97 0
9 165 80 0
230 173 33 0
13 208 32 0
115 146 7 0
95 160 6 0
23 178 68 0
220 121 30 0
98 38 90 0
21 248 66 0
2 192 20 0
112 4 29 0
94 252 100 0
139 110 75 0
236 234 54 0
136 17 2 0
16 166 31 0
186 73 27 0
127 13 24 0
148 195 16 0
43 101 31 0
56 230 37 0
77 208 17 0
17 20 16 0
154 238 22 0
26 62 89 0
18 196 84 0
232 97 73 0
89 100 85 0
83 105 37 0
247 85 95 0
35 143 51 0
170 190 30 0
48 150 51 0
87 253 59 0
94 239 20 0
157 45 8 0
159 4 13 0
63 83 94 0
209 104 23 0
222 35 33 0
41 40 46 0
16 126 56 0
102 153 88 0
47 127 54 0
165 45 3 0
216 117 91 0
12 225 9 0
120 256 44 0
29 100 14 0
250 11 26 0
112 244 32 0
69 250 80 0
190 137 99 0
77 200 85 0
80 104 77 0
226 122 31 0
160 151 12 0
136 250 7 0
150 16 98 0
93 161 79 0
120 5 30 0
245 93 60 0
55 216 52 0
90 117 87 0
54 32 92 0
132 231 37 0
38 224 56 0
166 148 73 0
175 105 57 0
256 49 73 0
122 139 90 0
94 206 32 0
202 132 21 0
196 250 62 0
54 131 97 0
203 51 74 0
3 85 90 0
249 79 91 0
103 222 90 0
18 103 40 0
248 255 52 0
61 117 52 0
164 248 37 0
180 183 30 0
194 241 43 0
137 19 21 0
251 207 44 0
218 201 66 0
13 228 11 0
129 152 55 0
26 110 45 0
59 153 71 0
16 7 22 0
46 218 63 0
59 177 3 0
45 202 69 0
118 210 5 0
153 131 34 0
161 34 9 0
158 209 41 0
235 238 28 0
150 10 63 0
225 165 17 0
56 62 42 0
59 33 75 0
206 181 8 0
185 221 86 0
227 40 69 0
196 8 72 0
110 103 78 0
119 41 56 0
164 104 6 0
138 59 97 0
246 134 95 0
34 149 81 0
90 146 16 0
131 118 74 0
39 162 8 0
102 97 13 0
154 76 28 0
197 82 44 0
240 223 69 0
57 2 16 0
245 23 80 0
34 216 41 0
240 227 7 0
136 59 71 0
176 209 6 0
194 162 4 0
7 129 17 0
149 80 93 0
223 181 42 0
228 1 69 0
152 160 69 0
10 163 6 0
169 81 88 0
143 112 72 0
44 253 9 0
241 2 79 0
248 82 94 0
209 191 30 0
240 205 82 0
59 159 16 0
78 54 60 0
110 49 2 0
42 253 16 0
121 38 40 0
201 206 45 0
32 168 46 0
97 38 49 0
194 151 85 0
115 205 80 0
139 192 94 0
249 26 81 0
246 89 68 0
21 18 85 0
168 210 96 0
213 45 7 0
97 30 12 0
195 31 8 0
118 153 71 0
62 12 29 0
64 157 49 0
67 149 95 0
70 164 31 0
87 136 85 0
118 163 37 0
184 175 11 0
124 75 71 0
137 185 81 0
157 8 5 0
53 36 6 0
13 214 72 0
184 65 11 0
215 256 68 0
201 199 71 0
195 52 11 0
95 201 9 0
88 56 87 0
181 137 8 0
72 14 72 0
3 0 50 0
32 245 89 0
136 226 67 0
94 246 44 0
144 175 100 0
137 44 93 0
95 143 71 0
136 70 17 0
118 122 65 0
107 79 15 0
189 146 33 0
109 185 87 0
115 197 35 0
109 50 24 0
90 108 63 0
175 133 53 0
235 63 42 0
1 254 98 0
13 68 37 0
11 109 92 0
122 129 41 0
227 137 57 0
171 144 97 0
31 67 75 0
68 212 25 0
72 20 57 0
245 190 29 0
187 12 11 0
14 152 74 0
47 172 87 0
189 56 64 0
200 188 49 0
159 145 28 0
22 121 78 0
110 47 95 0
116 152 77 0
255 5 53 0
93 26 91 0
111 130 84 0
27 35 3 0
218 130 26 0
161 255 63 0
34 118 50 0
66 81 58 0
84 151 23 0
137 223 89 0
114 77 9 0
57 37 92 0
150 163 16 0
153 154 7 0
53 158 94 0
19 162 72 0
212 200 89 0
103 115 82 0
112 3 80 0
192 62 89 0
240 94 60 0
182 216 24 0
169 242 87 0
5 184 6 0
48 85 9 0
130 117 21 0
3 219 83 0
44 57 66 0
16 212 98 0
88 192 17 0
60 32 66 0
94 98 21 0
59 28 15 0
221 25 19 0
204 82 30 0
222 231 69 0
151 140 27 0
87 68 23 0
232 73 63 0
203 184 38 0
100 149 38 0
72 201 82 0
203 54 2 0
24 5 38 0
201 102 44 0
212 178 100 0
39 35 61 0
136 254 88 0
41 124 53 0
252 207 65 0
234 57 17 0
238 254 90 0
150 199 31 0
10 203 22 0
57 69 12 0
150 95 47 0
174 184 47 0
25 52 38 0
168 178 77 0
24 88 33 0
251 210 79 0
210 204 56 0
52 222 3 0
210 22 38 0
72 23 63 0
178 148 65 0
185 154 39 0
173 36 6 0
8 105 36 0
52 174 50 0
40 176 80 0
5 23 94 0
223 11 100 0
103 170 47 0
32 196 79 0
5 76 82 0
23 60 100 0
37 248 64 0
37 190 75 0
85 99 45 0
204 20 99 0
0 37 40 0
105 201 8 0
6 72 5 0
95 21 12 0
55 53 3 0
200 191 58 0
222 75 72 0
162 24 33 0
41 188 77 0
48 41 41 0
37 233 15 0
164 58 38 0
180 152 12 0
42 82 18 0
252 31 28 0
89 112 70 0
242 154 24 0
0 132 61 0
71 153 16 0
5 104 83 0
37 225 61 0
136 80 69 0
143 90 11 0
98 250 92 0
232 24 97 0
2 121 55 0
114 224 44 0
58 84 45 0
187 176 24 0
123 235 79 0
59 73 38 0
11 134 42 0
178 92 44 0
185 225 100 0
55 196 82 0
74 218 97 0
61 232 100 0
230 117 53 0
230 58 46 0
5 50 57 0
244 49 3 0
218 81 21 0
146 119 44 0
159 107 87 0
165 228 67 0
6 180 58 0
38 229 53 0
98 44 72 0
172 0 40 0
158 224 30 0
101 84 8 0
16 144 62 0
124 51 65 0
43 108 22 0
10 33 21 0
165 124 9 0
234 175 25 0
65 119 58 0
34 255 76 0
6 74 17 0
69 222 62 0
231 37 65 0
30 36 13 0
151 147 70 0
60 78 20 0
9 82 52 0
49 153 71 0
187 26 7 0
208 234 34 0
194 69 29 0
83 108 20 0
23 131 82 0
193 75 90 0
134 142 42 0
142 245 51 0
157 177 61 0
242 256 61 0
148 86 48 0
169 62 76 0
204 50 89 0
99 249 3 0
49 219 33 0
246 194 71 0
39 131 82 0
171 222 7 0
118 16 34 0
103 62 86 0
75 119 98 0
47 130 55 0
0 232 36 0
76 142 59 0
115 65 26 0
30 4 53 0
187 20 58 0
134 105 49 0
51 164 38 0
17 18 86 0
195 218 41 0
223 19 62 0
139 141 79 0
216 18 34 0
126 217 83 0
105 197 17 0
249 191 45 0
187 205 46 0
94 159 48 0
95 93 36 0
234 248 51 0
8 95 74 0
170 150 25 0
56 142 86 0
78 47 52 0
116 30 67 0
228 113 76 0
157 214 98 0
116 248 98 0
238 78 56 0
182 95 41 0
147 141 79 0
254 122 55 0
252 168 84 0
72 247 7 0
193 132 80 0
104 116 83 0
210 112 53 0
55 147 11 0
100 154 7 0
7 108 91 0
81 60 11 0
124 182 21 0
233 2 20 0
193 139 48 0
220 241 49 0
22 70 95 0
247 106 2 0
82 149 7 0
12 218 24 0
211 183 95 0
99 228 11 0
120 247 11 0
16 250 52 0
52 47 98 0
60 62 31 0
106 163 33 0
64 94 44 0
154 164 46 0
147 46 47 0
136 30 2 0
227 43 36 0
16 80 27 0
146 187 53 0
244 187 65 0
115 249 81 0
91 81 77 0
150 136 19 0
240 113 86 0
56 3 2 0
220 49 84 0
233 184 16 0
96 108 81 0
116 9 88 0
115 100 31 0
95 32 46 0
207 180 35 0
5 179 96 0
243 229 49 0
147 234 74 0
156 38 26 0
216 101 55 0
216 38 67 0
86 172 67 0
83 250 37 0
137 245 76 0
205 116 34 0
237 209 49 0
184 88 51 0
40 73 24 0
74 149 84 0
140 105 44 0
100 126 70 0
242 90 41 0
130 145 94 0
115 86 13 0
33 135 72 0
247 57 1 0
137 150 10 0
74 44 22 0
79 96 63 0
110 143 84 0
248 132 86 0
110 88 92 0
9 247 58 0
70 69 69 0
126 85 23 0
240 211 41 0
211 20 18 0
31 186 49 0
185 123 63 0
170 217 71 0
108 234 42 0
124 166 69 0
42 207 62 0
166 206 81 0
250 149 15 0
74 211 19 0
74 157 12 0
86 246 8 0
232 128 89 0
